passenger_id,fare,cabin,embarked,boat,body,home.dest,survived
309,164.8667,C7,S,8,,"Youngstown, OH",1
998,7.8958,,C,,,,0
202,26.2875,E25,S,7,,"Philadelphia, PA",1
827,46.9,,S,,,"Wiltshire, England Niagara Falls, NY",0
186,27.7208,,C,6,,"Stockholm, Sweden",1
1180,69.55,,S,,,,0
960,6.4375,,C,,196,,0
408,10.5,,S,,,"Cornwall / Houghton, MI",0
477,10.7083,,Q,,,,0
546,13,,S,9,,Spain,1
356,13,,S,,97,"Southsea, Hants",0
1307,7.225,,C,,,,0
70,0,,S,,,"Liverpool, England / Belfast",0
902,23.45,,S,,,,0
1049,15.7417,,C,C,,,1
86,26.55,E17,S,5 9,,"Lima, Peru",1
343,13,D56,S,13,,London,1
896,0,,S,,,,0
419,11.5,,S,,,"Cornwall / Camden, NJ",0
940,7.8958,,C,,,,0
872,8.05,,S,C,,,1
433,10.5,,S,,,"Walthamstow, England",0
68,29.7,A9,C,7,,"Paris, France",1
763,20.575,,S,10,,"Devon, England Wichita, KS",1
1115,7.775,,S,,,,0
782,7.75,,Q,,,,0
228,108.9,C65,C,,,"Madrid, Spain",0
850,7.8542,,S,,69,,0
751,7.8958,,S,,,"Bulgaria Chicago, IL",0
1301,7.225,,C,,312,,0
789,7.225,,C,,,,0
508,14,,S,,,"Frankfort, KY",0
83,26.55,B26,S,7,,"Milwaukee, WI",1
592,27.75,,S,,,"Bournmouth, England",0
814,7.7417,,Q,,,"New York, NY",0
1272,9,,S,,,,0
1111,13.775,,S,,,,0
138,153.4625,C91,S,,147,"Winnipeg, MB",0
900,23.45,,S,,,,0
1177,69.55,,S,,,,0
720,7.25,,Q,,,"Co Limerick, Ireland Sherbrooke, PQ",0
193,211.3375,B5,S,2,,"St Louis, MO",1
870,7.925,,S,,,,1
180,211.3375,,S,2,,,1
682,7.75,,Q,,,"Ireland Chicago, IL",0
1136,8.1125,,S,,,,0
1138,7.25,,S,,,,0
485,12.875,D,C,,,"Montreal, PQ",0
949,56.4958,,S,14,,,1
14,30,A23,S,B,,"Hessle, Yorks",1
3,151.55,C22 C26,S,,135,"Montreal, PQ / Chesterville, ON",0
1281,9,,S,,,"Antwerp, Belgium / Stanton, OH",0
624,31.275,,S,,,"Sweden Winnipeg, MN",0
868,6.45,,S,,,,0
327,10.5,,S,,,"Cornwall, England Houghton, MI",0
491,15.0458,D,C,,,Paris,0
211,42.4,,S,,,"Washington, DC",0
549,18.75,,S,4,,"Cornwall / Akron, OH",1
673,4.0125,,C,,,Syria,0
983,7.55,,S,,,,0
179,26.55,C124,S,,,"Portland, OR",0
525,10.5,,S,,,"Hamilton, ON",0
1068,6.2375,,S,,,,0
741,7.225,,C,,9,,0
395,23,,S,,,Southampton,1
1108,14.5,,S,,,,0
735,15.9,,S,2,,"England Brooklyn, NY",1
1070,7.8292,,Q,,,,0
1097,21.075,,S,,,,0
1145,29.125,,Q,,,,0
1121,22.3583,,C,C,,,1
831,46.9,,S,,,"Wiltshire, England Niagara Falls, NY",0
128,38.5,E63,S,,275,"St Anne's-on-Sea, Lancashire",0
797,7.75,,Q,,68,"Aughnacliff, Co Longford, Ireland New York, NY",0
825,46.9,,S,,,"Wiltshire, England Niagara Falls, NY",0
12,69.3,B35,C,9,,"Paris, France",1
1207,27.9,,S,,,,0
800,7.75,,Q,,,,0
159,57.9792,B18,C,4,,"Chicago, IL",1
1294,16.1,,S,,14,,0
1141,29.125,,Q,,,,0
131,59.4,,C,7,,"New York, NY",1
1128,7.8958,,S,,,,0
424,13,,S,,305,,0
1222,8.6625,,C,,,,0
344,13,,S,12,,"Rochester, NY",1
844,15.85,,S,,,,0
1066,7.2292,,C,,181,,0
1144,29.125,,Q,,,,0
19,75.2417,C6,C,A,,"Winnipeg, MN",0
879,7.8958,,S,,,,0
1299,14.4542,,C,C,,,0
27,91.0792,B49,C,7,,"Dowagiac, MI",1
53,47.1,,S,,,"Montevideo, Uruguay",0
596,13,,S,9,,"London, England",1
236,135.6333,,C,,232,,0
300,33.5,B19,S,,245,"Brooklyn, NY",0
1275,18,,S,,,,0
1187,16.7,G6,S,13,,,1
21,52.5542,D35,S,5,,"New York, NY",1
871,7.75,,Q,,,,0
112,263,C23 C25 C27,S,10,,"Winnipeg, MB",1
149,83.475,C83,S,D,,"New York, NY",1
10,227.525,C62 C64,C,,124,"New York, NY",0
40,39.6,,C,,,"Philadelphia, PA",0
946,56.4958,,S,,,,0
1241,6.4375,,C,,,,0
1282,8.05,,S,,,,0
230,93.5,B73,S,3,,,1
1098,21.075,,S,,,,0
713,7.7333,,Q,,,"Ireland New York, NY",0
200,75.2417,C6,C,,292,"Vancouver, BC",0
541,26,,S,11,,"Plymouth, Devon / Detroit, MI",1
1279,7.8542,,S,,,,0
381,13,,S,,,"Provo, UT",0
451,26,,S,,,"England / Sacramento, CA",0
5,26.55,E12,S,3,,"New York, NY",1
1053,7.2292,,C,,,,0
907,9.825,,S,,,,0
115,263,C23 C25 C27,S,,,"Winnipeg, MB",0
548,18.75,,S,4,,"Cornwall / Akron, OH",1
1077,7.75,,Q,D,,,1
124,79.2,B41,C,5,,"Zurich, Switzerland",1
317,61.3792,,C,A,,"Geneva, Switzerland / Radnor, PA",1
538,12.7375,,C,14,,"Milford, NH",1
324,24,,C,10,,"Russia New York, NY",1
663,7.8958,,S,,,,0
100,56.9292,A20,C,1,,London / Paris,1
498,13.5,,S,,209,"Sydney, Australia",0
56,120,B96 B98,S,C,,"Bryn Mawr, PA",1
937,12.1833,,S,,,,0
1147,39.6875,,S,,,,0
391,27.7208,,C,,295,"Lucca, Italy / California",0
672,7.2292,,C,,,,0
362,21,,S,14,,"Mamaroneck, NY",1
155,93.5,B69,S,3,,"Montreal, PQ",1
325,13,,S,,,"Bryn Mawr, PA, USA",0
773,8.6625,,S,,,,0
753,8.05,,S,,,,0
1181,9.325,,S,,,,0
209,57.75,C78,C,11,,"New York, NY",1
1116,8.05,,S,,,,0
618,8.05,,S,,,"Lower Clapton, Middlesex or Erdington, Birmingham",0
1102,39.6875,,S,,,,0
968,15.55,,S,A,,,0
1191,8.05,,S,,,,0
393,31.5,,S,,,"Guernsey / Elizabeth, NJ",0
652,7.8542,,S,,,"Krakoryd, Sweden Bloomington, IL",0
506,10.5,,S,,,"Guernsey / Montclair, NJ and/or Toledo, Ohio",0
856,7.75,,Q,16,,,1
1230,10.4625,G6,S,,,,0
597,13,,S,14,,"Harrow, England",1
1273,18,,S,,,,0
1100,21.075,,S,,206,,0
379,26.25,,S,14,,"Bishopstoke, Hants / Fayette Valley, ID",1
643,31.3875,,S,15,,"Sweden Worcester, MA",1
74,52,A14,S,,,"Stoughton, MA",0
258,31,,C,4,,,1
69,55,E33,S,6,,"St Leonards-on-Sea, England Ohio",1
966,7.775,,S,,,,0
307,77.2875,D26,S,,169,"Brunswick, ME",0
2,151.55,C22 C26,S,,,"Montreal, PQ / Chesterville, ON",0
687,7.8542,,S,,,"Medeltorp, Sweden Chicago, IL",0
479,41.5792,,C,14,,Paris / Haiti,1
914,7.8542,,S,,,,0
1055,7.8958,,S,,,,0
1240,8.5167,,C,16,,,1
476,26,,S,,,"Minneapolis, MN",0
321,26.55,,S,,,"Halifax, NS",0
456,26,,S,,,"Swindon, England",0
136,28.5,C51,C,B,,"Washington, DC",1
604,7.65,,S,16,,"Norway Los Angeles, CA",1
1218,8.05,,S,,,,0
1159,8.05,,S,C,,,1
1119,7.25,,S,,,,0
224,28.5,C124,S,,166,"Surbiton Hill, Surrey",0
499,13,,S,,,"Sarnia, ON",0
1127,7.8958,,S,,,,0
703,7.75,,Q,,,"Ireland Philadelphia, PA",0
656,15.85,,S,,,"Ruotsinphytaa, Finland New York, NY",1
897,7.775,,S,,37,,0
288,25.9292,D17,S,8,,"Brooklyn, NY",1
195,86.5,B79,S,8,,,1
250,262.375,B57 B59 B63 B66,C,4,,"Haverford, PA / Cooperstown, NY",1
662,7.225,,C,,,,0
423,13,,S,,,"Vancouver, BC",0
854,6.8583,,Q,,,,0
620,22.525,,S,,260,"Bergen, Norway",0
1269,9.5,,S,,,,0
904,7.8958,,S,,,,0
632,31.275,,S,,,"Sweden Winnipeg, MN",0
1096,21.075,,S,,4,,0
25,26,,C,,148,"San Francisco, CA",0
77,83.1583,E52,C,,,"Lakewood, NJ",0
1303,14.4583,,C,,,,0
799,7.7958,,S,,,,0
334,10.5,,S,,,"Plymouth, Dorset / Houghton, MI",0
787,7.775,,S,,,"Karberg, Sweden Jerome Junction, AZ",0
392,27.7208,,C,12,,"Lucca, Italy / California",1
1270,9.5,,S,,,,0
169,28.7125,C49,C,,,"Paris, France New York, NY",0
1175,69.55,,S,,,,0
700,8.6625,,S,,,,0
822,7.85,,S,,,"Philadelphia, PA",0
1060,7.775,,S,D,,,1
969,15.55,,S,A,,,0
231,30.5,C104,S,6,,"Toronto, ON",1
971,7.8792,,Q,,,,0
846,9.5,,S,,,,0
805,56.4958,,S,13,,"Hong Kong New York, NY",1
460,27,,S,12,,London,1
66,262.375,B61,C,4,,,1
223,0,,S,,,Belfast,0
631,7.775,,S,,,"Hartford, CT",0
609,8.05,,S,,103,"Bournemouth, England",0
1135,7.8958,,S,,,,0
845,15.85,,S,15,,,1
222,27.7208,D43,C,,189,"?Havana, Cuba",0
234,0,,S,,,"Rotterdam, Netherlands",0
1202,8.05,,S,,,,0
511,9.6875,,Q,,,"Cambridge, MA",0
215,113.275,D48,C,,122,"Lexington, MA",0
925,8.05,,S,,,,0
32,164.8667,C7,S,8,,"Youngstown, OH",1
701,8.6625,,S,,,,0
332,10.5,,S,,,Guernsey,0
127,53.1,C123,S,D,,"Scituate, MA",1
979,7.0542,,S,,,,0
539,15.0333,,C,,,Paris,0
1072,7.7333,,Q,,,,0
267,30.6958,A7,C,,,"St James, Long Island, NY",0
501,19.5,,S,14,,"England / Bennington, VT",1
1262,14.5,,S,,,,0
606,7.925,,S,15,,"Taalintehdas, Finland Hoboken, NJ",1
886,7.75,,Q,D,,,1
585,26,,S,,293,"Bromsgrove, England / Montreal, PQ",0
588,23,,S,14,,"Cornwall / Akron, OH",1
1157,20.2125,,S,,,,0
599,13,,S,,,Paris,0
990,7.925,,S,,,,0
80,26.55,,S,,,"Roachdale, IN",0
251,262.375,B57 B59 B63 B66,C,4,,"Haverford, PA / Cooperstown, NY",1
1109,8.7125,,C,,,,0
823,20.525,,S,C D,,"Strood, Kent, England Detroit, MI",1
1051,8.05,,S,,,,0
919,7.2292,,C,,58,,0
23,227.525,,C,4,,,1
54,120,B96 B98,S,4,,"Bryn Mawr, PA",1
1151,14.5,,S,,,,0
216,26.2833,D47,S,5,,"New York, NY",1
1046,7.8958,,S,,,,0
151,76.7292,D49,C,3,,,1
923,7.75,,Q,D,,,1
46,31,,S,,,,0
852,7.55,,S,,,,0
192,146.5208,B80,C,,,,1
779,7.75,,Q,,,"Ireland New York, NY",0
1042,15.5,,Q,16,,,1
694,6.75,,Q,,,"Co Cork, Ireland Charlestown, MA",0
105,31.6792,A29,C,,,"New York, NY",0
1073,7.75,,Q,,,,0
1031,8.05,,S,,,,0
513,30.0708,,C,,,"New York, NY",1
1249,7.75,F38,Q,,,,0
957,25.4667,,S,,,,0
811,34.375,,S,,,"Rotherfield, Sussex, England Essex Co, MA",0
536,13,,S,9,,Russia,1
416,26,,S,,,"Liverpool / Montreal, PQ",0
1243,7.225,,C,,,,0
247,59.4,,C,6,,"New York, NY",1
920,7.75,,Q,,,,0
427,14.5,,S,4,,"Detroit, MI",1
695,7.8792,,Q,,,"Co Sligo, Ireland New York, NY",0
756,16.1,,S,,,"Liverpool, England Bedford, OH",0
1087,7.8542,,S,,,,0
17,247.5208,B58 B60,C,6,,"Montreal, PQ",1
93,81.8583,A34,S,13,,"San Francisco, CA",1
406,26,,S,,286,"England / Philadelphia, PA",0
578,21,,S,,,"Bristol, England / New Britain, CT",0
1293,8.05,,S,,,,0
633,7.8542,,S,,,"Sweden Chicago, IL",0
839,7.775,,S,,,"Myren, Sweden New York, NY",0
755,8.05,,S,,,"West Bromwich, England Pontiac, MI",0
649,7.05,,S,,,,0
1166,7.225,,C,,,,0
769,7.25,,S,,,,0
1075,9.225,,S,,,,0
166,30.6958,,C,14,,"New York, NY",0
1225,,,S,,261,,0
894,11.1333,,S,15,,,1
146,76.7292,D33,C,3,,"New York, NY",1
785,13.9,,S,16,,"West Haven, CT",1
733,15.9,,S,2,,"England Brooklyn, NY",1
819,7.75,,Q,13,,"Co Clare, Ireland Washington, DC",1
441,16,,S,13,,"India / Rapid City, SD",1
664,7.2292,,C,15,,,1
838,7.925,,S,,,"Ruotsinphytaa, Finland New York, NY",0
628,31.275,,S,,,"Sweden Winnipeg, MN",0
1039,7.7333,,Q,16,,,1
651,7.225,,C,,,"Ottawa, ON",0
696,8.6625,,S,,,,0
740,8.6625,,S,,,Austria-Hungary,0
1171,69.55,,S,,67,,0
390,73.5,,S,,,,0
1009,7.75,,Q,,,,0
1033,7.775,,S,B,,,1
815,14.5,,S,,,,0
972,56.4958,,S,,,,0
35,262.375,,C,4,,"Cooperstown, NY",1
282,78.2667,D20,C,4,,"Haverford, PA",1
440,65,,S,9,,"Somerset / Bernardsville, NJ",1
439,65,,S,,,"Somerset / Bernardsville, NJ",0
554,13,,S,,,"Newark, NJ",0
934,22.025,,S,2,,,1
932,8.6625,,S,,,,0
544,21,,S,12,,"Elizabeth, NJ",0
95,81.8583,A34,S,5,,"San Francisco, CA",1
1015,8.05,,S,,201,,0
354,26,,S,,,"Skara, Sweden / Rockford, IL",0
305,26.55,,S,,,"England Salt Lake City, Utah",0
723,7.7333,,Q,,,"Philadelphia, PA",0
37,26.55,,S,9,,"Los Angeles, CA",1
488,26,,S,,121,"Weston-Super-Mare, Somerset",0
984,7.75,,Q,15,,,1
611,9.35,,S,11,,"London, England Norfolk, VA",1
219,25.7417,,C,7,,"Paris, France",1
605,7.65,F G63,S,A,,"Perkins County, SD",1
865,7.75,,Q,,,,0
30,35.5,T,S,,,"Trenton, NJ",0
636,17.8,,S,,,"Altdorf, Switzerland",0
1286,7.2292,,C,C,,,1
475,26,,S,,,"Minneapolis, MN",0
841,7.7333,,Q,,,,0
862,8.9625,,S,C,,,1
828,46.9,,S,,,"Wiltshire, England Niagara Falls, NY",0
265,35.5,A6,S,7,,"New Britain, CT",1
285,221.7792,C55 C57,S,,96,"New York, NY",0
667,7.8792,,Q,,,"New York, NY",0
1238,7.7958,,S,13 15,,,1
1274,18,,S,,,,0
45,26.55,B38,S,,,"Washington, DC",0
627,31.275,,S,,,"Sweden Winnipeg, MN",0
721,7.4958,,S,,,"Bulgaria Chicago, IL",0
676,7.75,,S,,,"Stockholm, Sweden New York",0
434,26.25,,S,14,,"Ilford, Essex / Winnipeg, MB",1
270,60,C31,S,6,,"Huntington, WV",1
76,83.1583,E49,C,14,,"Lakewood, NJ",1
595,12.875,,S,,,,0
340,39,F4,S,11,,"Guntur, India / Benton Harbour, MI",1
593,27.75,,S,10,,"Bournmouth, England",1
458,10.5,,S,,,Guernsey,1
1146,29.125,,Q,,327,,0
1023,7.8792,,Q,16,,,1
1044,15.5,,Q,16,,,1
1164,7.2292,,C,,,,0
1026,12.475,E121,S,14,,,1
486,10.5,,S,,108,,0
502,19.5,,S,14,,"England / Bennington, VT",1
655,15.85,,S,D,,"Ruotsinphytaa, Finland New York, NY",0
615,7.925,,S,,,"Salo, Finland Astoria, OR",0
85,71.2833,C85,C,4,,"New York, NY",1
164,26.55,,C,15,,"Indianapolis, IN",1
409,13,,S,,236,"Rochester, NY",0
746,7.75,,Q,13 15 B,,"Co Athlone, Ireland New York, NY",1
851,14.1083,,S,11,,,1
1227,9.8375,,S,,,,0
777,8.05,,S,B,,"England Oglesby, IL",1
610,9.475,,S,,,"Sweden Akeley, MN",0
743,10.5167,,S,,,"Norrlot, Sweden Chicago, IL",0
603,20.25,,S,A,,"East Providence, RI",1
1190,9.5,,S,11,,,1
279,26.55,C87,S,,,"Wimbledon Park, London / Hayling Island, Hants",0
728,8.05,,S,,,,0
551,10.5,,S,13,,"London, England / Marietta, Ohio and Milwaukee, WI",1
132,79.2,B86,C,,,,0
453,73.5,,S,,,"New Forest, England",0
642,31.3875,,S,,,"Sweden Worcester, MA",0
396,23,,S,,,Southampton,1
125,0,B102,S,,,,0
1163,24.15,,Q,,,,0
714,56.4958,,S,C,,"Hong Kong New York, NY",1
653,7.2292,,C,C,,"Syria Youngstown, OH",1
936,22.025,,S,2,,,1
357,13,,S,,,London,0
791,7.2292,,C,,,,0
1126,7.8958,,S,,,,0
999,7.75,,Q,15 16,,,1
110,27.75,C111,C,,,"New York, NY",0
1065,7.8,,S,,,,0
426,13,,S,,75,"Auburn, NY",0
455,26,,S,,,"Swindon, England",0
1034,15.2458,,C,C,,,1
34,26.55,D22,S,,,"London / Winnipeg, MB",0
237,227.525,,C,,,,0
707,7.7958,,S,,,"Dagsas, Sweden Fower, MN",0
757,16.1,,S,16,,"Liverpool, England Bedford, OH",1
732,8.05,,S,,,London,0
1132,7.8958,,S,,,,0
463,31.5,,S,,,"Guernsey / Elizabeth, NJ",0
962,15.5,,Q,,,,0
1220,8.05,,S,,,,0
81,71,B22,S,,269,"Milwaukee, WI",0
834,8.3625,,S,,,"Foresvik, Norway Portland, ND",0
373,26,,S,14,,"England / San Francisco, CA",1
677,7.8958,,S,,,"Bulgaria Chicago, IL",0
671,9.35,,S,,,"Tranvik, Finland New York",0
931,7.7375,,Q,,,,0
4,151.55,C22 C26,S,,,"Montreal, PQ / Chesterville, ON",0
1231,10.4625,G6,S,,,,0
1156,20.2125,,S,,,,0
471,13.5,,S,9,,"London / New York, NY",1
635,17.8,,S,,,"Altdorf, Switzerland",0
982,7.8958,,S,,,,0
1153,14.5,,S,,7,,0
749,14.4,,S,,,"Stanton, IA",0
445,13,,S,,,"Kontiolahti, Finland / Detroit, MI",0
1137,7.2292,,C,,,,0
587,23,,S,14,,"Cornwall / Akron, OH",1
52,47.1,,S,,,"Montevideo, Uruguay",0
830,46.9,,S,,,"Wiltshire, England Niagara Falls, NY",0
1219,8.05,,S,,,,0
1172,69.55,,S,,,,0
245,86.5,B77,S,8,,"London  Vancouver, BC",1
278,30.5,B50,C,3,,"Basel, Switzerland",1
616,7.05,,S,,,,0
221,61.9792,B30,C,,234,"Providence, RI",0
1278,7.8542,,S,,,,0
876,7.8958,,S,,,,0
1173,69.55,,S,,,,0
117,56.9292,E36,C,1,,,1
802,6.95,,Q,,,,0
191,45.5,,S,,,"London / New York, NY",0
675,7.775,,S,,,"Brennes, Norway New York",0
1118,7.925,,S,,,,0
1247,16.1,,S,10,,,1
567,10.5,,S,,81,"Catford, Kent / Detroit, MI",0
790,7.2292,,C,,,"Syria Ottawa, ON",0
711,7.25,,S,,,"St Denys, Southampton, Hants",0
985,7.1417,,S,13,,,1
1174,69.55,,S,,,,0
623,31.275,,S,,,"Sweden Winnipeg, MN",0
1246,16.1,,S,,,,0
380,10.5,F33,S,14,,Pennsylvania,1
890,7.7958,,S,,156,,0
1165,7.225,,C,,,,0
172,26,E60,S,,,London,0
1104,39.6875,,S,,,,0
521,10.5,F33,S,11,,"Folkstone, Kent / New York, NY",1
944,7.8958,,S,,,,0
472,12.35,,Q,,,"Glasgow / Bangor, ME",0
916,13.4167,,C,15,,,1
370,30,,S,12,,London,1
207,90,C78,Q,14,,"Green Bay, WI",1
422,13,,S,,155,"Clevedon, England",0
442,73.5,,S,,,"West Hampstead, London / Neepawa, MB",0
122,49.5,B39,C,5,,"Zurich, Switzerland",1
212,29.7,C118,C,,,"Brooklyn, NY",0
494,37.0042,,C,10,,"Paris / Montreal, PQ",1
963,0,,S,,,,0
389,13,,S,,,"Portugal / Sau Paulo, Brazil",0
1043,15.5,,Q,16,,,1
1209,27.9,,S,,,,0
1056,11.2417,,C,C,,,1
375,13,,S,,,"Helsinki, Finland Ashtabula, Ohio",0
956,25.4667,,S,,,,0
1067,7.75,,S,13,,,1
404,13,,S,,,"Goteborg, Sweden / Rockford, IL",0
739,16.1,,S,,,"Bournemouth, England Newark, NJ",0
1257,15.2458,,C,C,,,1
650,14.4583,,C,,,,0
930,7.75,,Q,,,,0
1300,14.4542,,C,,,,1
382,21,,S,,,"Upper Burma, India Pittsburgh, PA",0
547,15.0458,,C,,,"Paris / Montreal, PQ",0
175,51.8625,D21,S,,,"Southington / Noank, CT",0
349,13,F33,S,11,,"London / Montreal, PQ",1
376,10.5,,S,9,,"London / Fort Byron, NY",1
955,25.4667,,S,,,,0
1025,12.475,E121,S,14,,,1
378,26.25,,S,,,"Bishopstoke, Hants / Fayette Valley, ID",0
1198,7.7792,,Q,,,,1
1041,8.05,,S,,,,0
1037,7.2292,,C,,,,1
1236,9.225,,S,13,,,1
951,7.775,,S,,,,0
394,73.5,,S,,,"New Forest, England",0
861,7.925,,S,,,,0
452,26,,S,10,,"England / Sacramento, CA",1
988,7.75,,Q,,,,0
1152,14.5,,S,,119,,0
792,7.2292,,C,,,Syria,0
515,26,F2,S,D,,"Nice, France",1
1029,24.15,,Q,,,,0
1016,7.75,,Q,,,,0
319,134.5,E39 E41,C,3,,,1
286,221.7792,C55 C57,S,,,"New York, NY",0
1032,7.75,,Q,,,,0
924,7.8292,,Q,,70,,0
469,12.35,E101,Q,10,,"Harrisburg, PA",1
415,13,,S,12,,"Brooklyn, NY",1
1201,7.2292,,C,,,,0
241,50,A32,S,,,"Seattle, WA",0
813,7.25,,S,,,,0
1000,7.75,,Q,,,,1
553,10.5,,S,12,,"Guernsey / Wilmington, DE",1
911,8.4333,,S,,,,0
878,7.925,,S,,,,0
483,33,,S,11,,"London / Chicago, IL",1
336,26,,S,13,,"Norwich / New York, NY",1
641,31.3875,,S,15,,"Sweden Worcester, MA",1
887,8.1125,,S,13,,,1
520,13.8625,D38,C,7,,"Cologne, Germany",1
79,25.7,C101,S,2,,"New York, NY",1
1014,8.05,,S,,,,0
153,83.1583,C54,C,7,,"New York, NY",1
1266,24.15,,S,,,,0
921,7.25,,S,A,,,0
975,16.1,,S,,,,0
73,151.55,,S,11,,,1
514,26,F2,S,D,,"Nice, France",1
863,7.8958,,S,,306,,0
11,227.525,C62 C64,C,4,,"New York, NY",1
583,15.75,,S,9,,"Aberdeen / Portland, OR",1
