,pclass,sex,age,hasFamily,embarked_C,embarked_Q,embarked_S,loc_A,loc_B,loc_C,loc_D,loc_E,loc_F,loc_G,loc_T,loc_X
725,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
372,3.0,1,40.5,False,0,1,0,0,0,0,0,0,0,0,0,1
829,2.0,0,12.0,False,0,0,1,0,0,0,0,0,0,0,0,1
55,2.0,1,28.0,False,0,0,1,0,0,0,0,0,0,0,0,1
214,3.0,1,27.0,False,1,0,0,0,0,0,0,0,0,0,0,1
175,2.0,0,36.0,True,0,0,1,0,0,0,0,0,1,0,0,0
733,3.0,1,25.0,False,1,0,0,0,0,0,0,0,1,0,0,0
415,1.0,0,43.0,True,0,0,1,0,1,0,0,0,0,0,0,0
231,2.0,1,19.0,True,0,0,1,0,0,0,0,0,0,0,0,1
271,3.0,1,25.0,True,0,1,0,0,0,0,0,0,0,0,0,1
382,2.0,1,39.0,False,0,0,1,0,0,0,0,0,0,0,0,1
513,2.0,0,8.0,True,0,0,1,0,0,0,0,0,0,0,0,1
558,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
363,1.0,1,57.0,True,0,0,1,0,0,0,0,0,0,0,0,1
798,3.0,0,24.0,True,0,0,1,0,0,0,0,0,0,1,0,0
666,1.0,0,23.0,True,1,0,0,0,0,0,1,0,0,0,0,0
424,2.0,1,42.0,False,0,0,1,0,0,0,0,0,0,0,0,1
385,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
638,3.0,0,22.0,False,0,1,0,0,0,0,0,0,0,0,0,1
776,2.0,0,24.0,True,0,0,1,0,0,0,0,0,0,0,0,1
861,3.0,1,31.0,False,0,0,1,0,0,0,0,0,0,0,0,1
436,1.0,1,46.0,False,0,0,1,0,0,0,0,0,0,0,0,1
656,3.0,1,10.0,True,0,0,1,0,0,0,0,0,0,0,0,1
751,3.0,1,29.0,True,0,0,1,0,0,0,0,0,0,0,0,1
384,2.0,1,28.0,False,0,0,1,0,0,0,0,0,0,0,0,1
264,3.0,1,19.0,False,0,0,1,0,0,0,0,0,0,0,0,1
200,2.0,1,51.0,False,0,0,1,0,0,0,0,0,0,0,0,1
350,3.0,1,41.0,False,0,0,1,0,0,0,0,0,0,0,0,1
859,2.0,0,6.0,True,0,0,1,0,0,0,0,0,0,0,0,1
412,2.0,0,4.0,True,0,0,1,0,0,0,0,0,0,0,0,1
729,3.0,1,25.0,False,1,0,0,0,0,0,0,0,0,0,0,1
717,1.0,0,47.0,True,0,0,1,0,0,0,0,1,0,0,0,0
60,1.0,1,42.0,False,1,0,0,0,0,1,0,0,0,0,0,0
792,3.0,0,22.0,True,0,0,1,0,0,0,0,0,0,0,0,1
251,2.0,0,27.0,True,0,0,1,0,0,0,0,0,0,0,0,1
711,1.0,0,22.0,True,0,0,1,0,0,1,0,0,0,0,0,0
391,3.0,1,44.0,False,0,0,1,0,0,0,0,0,0,0,0,1
399,3.0,1,28.0,False,0,0,1,0,0,0,0,0,0,0,0,1
103,2.0,0,35.0,False,0,0,1,0,0,0,0,0,0,0,0,1
337,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
578,2.0,1,35.0,False,0,0,1,0,0,0,0,0,0,0,0,1
608,3.0,0,22.0,False,0,1,0,0,0,0,0,0,0,0,0,1
196,1.0,1,47.0,False,0,0,1,0,0,0,1,0,0,0,0,0
636,2.0,1,66.0,False,0,0,1,0,0,0,0,0,0,0,0,1
8,3.0,1,25.0,True,0,0,1,0,0,0,0,0,0,0,0,1
750,1.0,1,61.0,False,0,0,1,0,1,0,0,0,0,0,0,0
332,2.0,0,33.0,True,0,0,1,0,0,0,0,0,0,0,0,1
569,1.0,0,54.0,True,0,0,1,1,0,0,0,0,0,0,0,0
907,1.0,0,60.0,True,0,0,1,0,0,1,0,0,0,0,0,0
364,2.0,0,23.0,False,1,0,0,0,0,0,1,0,0,0,0,0
158,3.0,1,20.0,False,0,0,1,0,0,0,0,0,0,0,0,1
500,2.0,1,18.0,False,0,0,1,0,0,0,0,0,0,0,0,1
891,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
875,1.0,1,42.0,False,1,0,0,0,0,0,0,0,0,0,0,1
590,1.0,1,64.0,True,0,0,1,0,0,1,0,0,0,0,0,0
34,3.0,0,21.0,True,0,0,1,0,0,0,0,0,0,0,0,1
144,3.0,1,22.0,False,0,0,1,0,0,0,0,0,0,0,0,1
308,3.0,1,25.0,True,1,0,0,0,0,0,0,0,0,0,0,1
704,1.0,1,26.0,False,1,0,0,0,0,1,0,0,0,0,0,0
358,3.0,1,51.0,False,0,0,1,0,0,0,0,0,0,0,0,1
793,2.0,1,61.0,False,0,1,0,0,0,0,0,0,0,0,0,1
240,2.0,1,28.0,False,0,0,1,0,0,0,0,0,0,0,0,1
27,3.0,0,27.0,True,0,0,1,0,0,0,0,0,0,0,0,1
814,1.0,1,56.0,False,1,0,0,1,0,0,0,0,0,0,0,0
30,3.0,1,25.0,False,0,1,0,0,0,0,0,0,0,0,0,1
790,3.0,0,24.0,False,0,1,0,0,0,0,0,0,0,0,0,1
413,1.0,0,33.0,True,0,0,1,0,0,0,0,1,0,0,0,0
682,2.0,0,24.0,True,1,0,0,0,0,0,0,0,0,0,0,1
631,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
794,1.0,1,25.0,True,1,0,0,0,0,0,0,1,0,0,0,0
215,1.0,0,33.0,False,1,0,0,1,0,0,0,0,0,0,0,0
270,3.0,1,25.0,False,0,1,0,0,0,0,0,0,0,0,0,1
299,3.0,1,25.0,True,0,0,1,0,0,0,0,0,0,0,0,1
612,3.0,1,13.0,True,0,0,1,0,0,0,0,0,0,0,0,1
576,1.0,1,30.0,True,0,0,1,0,0,1,0,0,0,0,0,0
564,2.0,1,1.0,True,1,0,0,0,0,0,0,0,0,0,0,1
346,3.0,0,22.0,False,0,1,0,0,0,0,0,0,0,0,0,1
749,1.0,0,62.0,False,0,0,1,0,1,0,0,0,0,0,0,0
759,1.0,0,60.0,False,1,0,0,0,0,0,1,0,0,0,0,0
722,3.0,1,25.0,False,0,1,0,0,0,0,0,0,0,0,0,1
476,3.0,0,18.0,False,0,0,1,0,0,0,0,0,0,0,0,1
272,3.0,0,23.0,False,0,0,1,0,0,0,0,0,0,0,0,1
841,2.0,1,3.0,True,0,0,1,0,0,0,0,0,0,0,0,1
731,2.0,0,29.0,True,0,0,1,0,0,0,0,0,0,0,0,1
605,1.0,1,54.0,False,0,0,1,0,0,0,0,1,0,0,0,0
493,1.0,0,36.0,True,1,0,0,0,0,0,0,0,0,0,0,1
193,3.0,1,23.0,True,0,0,1,0,0,0,0,0,0,0,0,1
848,3.0,0,2.0,True,0,0,1,0,0,0,0,0,0,0,0,1
546,3.0,0,29.0,True,0,0,1,0,0,0,0,0,0,0,0,1
101,1.0,0,33.0,True,0,1,0,0,0,1,0,0,0,0,0,0
649,3.0,1,21.0,False,0,0,1,0,0,0,0,0,0,0,0,1
267,3.0,1,25.0,True,0,0,1,0,0,0,0,0,0,0,0,1
366,1.0,1,42.0,False,0,0,1,0,1,0,0,0,0,0,0,0
778,3.0,1,19.0,False,0,0,1,0,0,0,0,0,0,0,0,1
406,3.0,1,20.5,False,0,0,1,0,0,0,0,0,0,0,0,1
278,3.0,1,25.0,False,1,0,0,0,0,0,0,0,0,0,0,1
571,3.0,0,15.0,False,0,1,0,0,0,0,0,0,0,0,0,1
506,3.0,1,21.0,False,0,0,1,0,0,0,0,0,0,0,0,1
821,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
678,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
141,2.0,0,25.0,True,0,0,1,0,0,0,0,0,0,0,0,1
620,3.0,1,51.0,False,0,0,1,0,0,0,0,0,0,0,0,1
5,2.0,1,59.0,False,0,0,1,0,0,0,0,0,0,0,0,1
294,3.0,0,20.0,False,0,0,1,0,0,0,0,0,0,0,0,1
471,3.0,1,42.0,False,0,0,1,0,0,0,0,0,1,0,0,0
665,3.0,1,25.0,False,1,0,0,0,0,0,0,0,0,0,0,1
262,2.0,0,36.0,False,0,0,1,0,0,0,1,0,0,0,0,0
843,3.0,1,25.0,True,0,0,1,0,0,0,0,0,0,0,0,1
283,3.0,1,25.0,False,1,0,0,0,0,0,0,0,0,0,0,1
531,1.0,0,31.0,False,1,0,0,0,0,0,0,1,0,0,0,0
319,3.0,1,36.0,False,0,0,1,0,0,0,0,0,0,0,0,1
379,3.0,1,24.0,False,0,0,1,0,0,0,0,0,0,0,0,1
903,3.0,1,24.5,False,0,0,1,0,0,0,0,0,0,0,0,1
730,3.0,1,23.0,False,0,0,1,0,0,0,0,0,0,0,0,1
566,3.0,1,24.0,False,0,0,1,0,0,0,0,0,0,0,0,1
810,2.0,1,46.0,False,0,0,1,0,0,0,0,0,0,0,0,1
113,3.0,0,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
561,1.0,0,36.0,True,1,0,0,0,0,1,0,0,0,0,0,0
37,1.0,1,42.0,False,0,0,1,0,0,0,0,0,0,0,0,1
822,3.0,0,22.0,True,0,1,0,0,0,0,0,0,0,0,0,1
425,1.0,1,28.0,True,1,0,0,0,0,0,0,0,0,0,0,1
899,2.0,1,62.0,False,0,1,0,0,0,0,0,0,0,0,0,1
40,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
583,3.0,0,22.0,True,1,0,0,0,0,0,0,0,0,0,0,1
545,3.0,0,5.0,True,1,0,0,0,0,0,0,0,0,0,0,1
913,3.0,0,38.0,True,0,0,1,0,0,0,0,0,0,0,0,1
310,1.0,1,62.0,False,0,0,1,0,0,0,0,0,0,0,0,1
345,3.0,1,28.0,True,0,0,1,0,0,0,0,0,0,0,0,1
765,1.0,1,42.0,False,0,0,1,0,0,0,0,0,0,0,0,1
522,3.0,1,7.0,True,1,0,0,0,0,0,0,0,0,0,0,1
752,3.0,1,45.5,False,1,0,0,0,0,0,0,0,0,0,0,1
362,3.0,1,28.0,False,0,0,1,0,0,0,0,0,0,0,0,1
462,3.0,1,35.0,False,0,0,1,0,0,0,0,0,0,0,0,1
418,3.0,1,22.0,False,0,0,1,0,0,0,0,0,0,0,0,1
316,3.0,0,29.0,False,0,0,1,0,0,0,0,0,0,0,0,1
181,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
62,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
79,1.0,1,45.0,True,0,0,1,0,0,1,0,0,0,0,0,0
625,3.0,1,25.0,True,0,1,0,0,0,0,0,0,0,0,0,1
767,3.0,0,9.0,True,1,0,0,0,0,0,0,0,0,0,0,1
708,3.0,1,18.0,True,0,0,1,0,0,0,0,0,0,0,0,1
643,1.0,0,23.0,True,0,0,1,0,1,0,0,0,0,0,0,0
908,3.0,1,9.0,True,0,0,1,0,0,0,0,0,0,0,0,1
293,2.0,0,34.0,True,0,0,1,0,0,0,0,0,0,0,0,1
588,3.0,1,25.0,False,0,1,0,0,0,0,0,0,0,0,0,1
2,1.0,1,0.9167,True,0,0,1,0,0,1,0,0,0,0,0,0
409,2.0,0,8.0,True,0,0,1,0,0,0,0,0,0,0,0,1
