passenger_id,fare,cabin,embarked,home.dest,survived
1257,75.2417,C6,C,"Winnipeg, MN",0.0
47,7.225,,C,"Ottawa, ON",0.0
1047,61.175,E31,S,"Amenia, ND",0.0
34,247.5208,B58 B60,C,"Montreal, PQ",0.0
18,52.0,B71,S,"Montreal, PQ",1.0
1125,146.5208,B80,C,,1.0
299,7.2292,F E57,C,,1.0
914,26.0,,S,"England / Sacramento, CA",0.0
55,134.5,E34,C,"Tuxedo Park, NY",1.0
1279,50.4958,A24,S,"Trenton, NJ",0.0
276,13.0,,S,"Lake Arthur, Chavez County, NM",0.0
813,26.55,E38,S,"East Bridgewater, MA",0.0
108,15.9,,S,"England Brooklyn, NY",1.0
875,227.525,C62 C64,C,"New York, NY",1.0
8,13.0,,S,"St Ives, Cornwall / Calumet, MI",0.0
618,262.375,B57 B59 B63 B66,C,"Haverford, PA / Cooperstown, NY",1.0
152,55.4417,C116,C,"Newark, NJ",1.0
609,41.5792,,C,Paris / Haiti,1.0
436,39.0,,S,"Cape Town, South Africa / Seattle, WA",1.0
658,11.2417,,C,,1.0
142,7.125,,S,,0.0
762,10.5,,S,"Brighton, Sussex",0.0
1052,46.9,,S,"Wiltshire, England Niagara Falls, NY",0.0
1266,23.0,,S,"Cornwall / Akron, OH",1.0
1145,26.55,B38,S,"Washington, DC",0.0
955,81.8583,A34,S,"San Francisco, CA",1.0
381,7.8792,,Q,,1.0
1093,90.0,C78,Q,"Fond du Lac, WI",0.0
122,221.7792,C95,S,,0.0
805,106.425,,C,,1.0
608,60.0,C31,S,"Huntington, WV",0.0
1293,7.7958,,S,,1.0
1166,51.8625,D21,S,"Southington / Noank, CT",1.0
322,8.05,,S,,0.0
1019,7.225,,C,"Ottawa, ON",1.0
467,7.8958,,C,,0.0
61,52.0,,S,"New York, NY",1.0
1259,11.2417,,C,,1.0
408,31.3875,,S,"Sweden Worcester, MA",1.0
1100,0.0,,S,Belfast,0.0
678,26.55,B26,S,"Milwaukee, WI",1.0
434,7.75,,Q,,0.0
140,22.3583,F E69,C,,1.0
548,15.55,,S,,0.0
883,7.8542,,S,,0.0
194,61.9792,B36,C,"Providence, RI",1.0
740,26.0,,S,"Ascot, Berkshire / Rochester, NY",0.0
458,7.05,,S,"Italy Philadelphia, PA",1.0
987,37.0042,,C,"Paris / Montreal, PQ",0.0
795,13.0,,S,"London / Staten Island, NY",1.0
1198,25.4667,,S,,0.0
302,12.0,,C,"Berne, Switzerland / Central City, IA",1.0
1051,211.5,C80,C,"Elkins Park, PA",0.0
187,7.225,,C,,0.0
1258,151.55,,S,,1.0
1005,10.5,,S,"Cornwall / Houghton, MI",0.0
1252,7.8958,,C,,1.0
554,7.2292,,C,"Syria Youngstown, OH",1.0
1306,263.0,C23 C25 C27,S,"Winnipeg, MB",0.0
500,77.9583,D11,S,"Hudson, NY",1.0
792,31.0,A31,C,"Glen Ridge, NJ",1.0
1041,151.55,C22 C26,S,"Montreal, PQ / Chesterville, ON",0.0
52,15.1,,S,,0.0
893,27.7208,,C,"Gallipolis, Ohio / ? Paris / New York",0.0
1213,13.9,,S,"West Haven, CT",1.0
968,7.75,,Q,,0.0
317,8.1125,,S,,0.0
418,7.225,,C,,0.0
590,30.6958,,C,"New York, NY",0.0
472,13.4167,,C,,1.0
191,79.2,,C,"New York, NY",1.0
1008,20.25,,S,"East Providence, RI",0.0
1075,120.0,B96 B98,S,"Bryn Mawr, PA",1.0
880,0.0,,S,Belfast,0.0
1050,8.6625,,S,,0.0
1189,26.0,F2,S,"Nice, France",1.0
141,6.4375,,C,,0.0
426,13.0,,S,"Janjgir, India / Pennsylvania",0.0
818,27.75,,S,"Bournmouth, England",1.0
5,7.75,,Q,,0.0
1073,8.05,,S,,0.0
733,24.15,,Q,,1.0
1192,26.0,,S,"Bromsgrove, England / Montreal, PQ",0.0
159,65.0,,S,"Somerset / Bernardsville, NJ",1.0
397,13.8583,,C,"Spain / Havana, Cuba",1.0
1183,78.85,C46,S,"Little Onn Hall, Staffs",1.0
14,30.5,,S,"Philadelphia, PA",1.0
1124,7.8958,,C,"Austria Niagara Falls, NY",0.0
358,13.0,,S,"Oslo, Norway Bayonne, NJ",0.0
310,7.225,,C,,1.0
349,55.9,E44,S,"Duluth, MN",1.0
808,13.5,,S,"London / New York, NY",1.0
589,65.0,,S,"Somerset / Bernardsville, NJ",1.0
75,15.5,,Q,"Ireland Chicago, IL",0.0
204,15.5,,Q,"Ireland Chicago, IL",0.0
958,50.0,A32,S,"Seattle, WA",0.0
156,14.5,,S,,0.0
333,7.225,,C,,0.0
523,7.65,,S,"Norway Los Angeles, CA",1.0
682,7.775,,S,,0.0
511,7.2292,,C,,0.0
798,6.75,,Q,"Co Cork, Ireland Charlestown, MA",0.0
1078,134.5,E40,C,,1.0
503,7.8958,,S,,0.0
267,91.0792,B49,C,"Dowagiac, MI",1.0
461,7.8958,,S,,0.0
183,57.75,C78,C,"New York, NY",1.0
92,21.0,,S,"Elizabeth, NJ",0.0
211,7.8542,,S,"Goteborg, Sweden Huntley, IL",0.0
1046,11.5,,S,"Cornwall / Akron, OH",0.0
1146,30.0,A23,S,"Hessle, Yorks",1.0
580,0.0,,S,,0.0
1072,8.3625,,S,"Foresvik, Norway Portland, ND",0.0
240,153.4625,C125,S,"New York, NY / Greenwich CT",1.0
703,7.75,,Q,,0.0
446,65.0,,S,"Somerset / Bernardsville, NJ",0.0
390,16.1,,S,,0.0
440,27.9,,S,,0.0
271,51.4792,C101,S,"Belmont, MA",1.0
1217,15.1,,S,,0.0
785,26.0,,S,"Cornwall / Spokane, WA",0.0
789,7.75,,Q,,0.0
1128,77.2875,D26,S,"Brunswick, ME",0.0
103,16.1,,S,,0.0
1168,10.5,,S,"Guernsey / Montclair, NJ and/or Toledo, Ohio",0.0
878,40.125,A10,C,"Winnipeg, MB",0.0
198,59.4,,C,"New York, NY",1.0
688,56.9292,A20,C,London / Paris,1.0
574,78.2667,D20,C,"Brookline, MA",1.0
753,15.0,,S,"North Evington, England",0.0
506,46.9,,S,"Wiltshire, England Niagara Falls, NY",0.0
1194,8.05,,S,,0.0
113,34.375,,S,"Rotherfield, Sussex, England Essex Co, MA",0.0
330,8.05,,S,,0.0
1241,7.8542,,S,,0.0
613,26.55,,S,"England Salt Lake City, Utah",0.0
977,8.05,,S,,0.0
49,8.9625,,S,,1.0
312,69.55,,S,,0.0
435,15.05,,C,,0.0
965,23.0,,S,Southampton,1.0
1076,93.5,B24,S,"Montreal, PQ",0.0
625,7.925,,S,"Taalintehdas, Finland Hoboken, NJ",1.0
486,110.8833,C70,C,"Haverford, PA",1.0
858,10.5,,S,,0.0
9,7.8958,,S,,0.0
990,13.0,,S,,0.0
742,263.0,C23 C25 C27,S,"Winnipeg, MB",1.0
513,7.125,,S,,0.0
1271,13.0,,S,"West Hoboken, NJ",0.0
1237,27.7208,,C,"Lucca, Italy / California",0.0
85,13.0,,S,"Barre, Co Washington, VT",0.0
1244,26.55,,S,"Duluth, MN",1.0
16,24.15,,Q,,0.0
933,7.8958,,S,,0.0
1099,7.2292,,C,,1.0
1240,22.525,,S,,0.0
482,89.1042,C92,C,"Paris, France / New York, NY",1.0
1253,7.8292,,Q,,0.0
916,7.925,,S,,0.0
794,8.1583,,S,"Bristol, England Cleveland, OH",0.0
632,13.0,,S,Southampton,0.0
567,24.15,,Q,,0.0
743,11.5,,S,"Cornwall / Camden, NJ",0.0
796,26.0,,S,"England / Philadelphia, PA",0.0
526,7.8958,,S,,0.0
1250,7.225,,C,,0.0
960,49.5042,,C,"Montevideo, Uruguay",0.0
1098,73.5,,S,"West Hampstead, London / Neepawa, MB",0.0
641,6.45,,S,,0.0
1102,75.2417,C6,C,"Vancouver, BC",0.0
863,69.3,B35,C,,1.0
1030,15.7417,,C,,1.0
651,7.775,,S,"Tofta, Sweden Joliet, IL",0.0
649,7.775,,S,,1.0
412,39.6875,,S,,0.0
948,10.5,,S,"London / Fort Byron, NY",1.0
1261,21.6792,,C,,0.0
549,211.5,C130,C,,1.0
361,7.8958,,S,,0.0
1095,7.775,,S,,1.0
846,55.0,E33,S,"St Leonards-on-Sea, England Ohio",1.0
601,26.0,,S,London,0.0
1028,26.0,,S,"England / Sacramento, CA",1.0
491,247.5208,B58 B60,C,"Montreal, PQ",1.0
1000,16.1,,S,"Bournemouth, England Newark, NJ",1.0
1003,8.05,,S,,0.0
1245,13.0,,S,"Portugal / Sau Paulo, Brazil",0.0
420,13.0,,S,London,0.0
833,7.8958,,S,,0.0
817,31.275,,S,"Sweden Winnipeg, MN",0.0
263,9.225,,S,"Oslo, Norway Cameron, WI",0.0
1248,79.65,E67,S,"New York, NY",1.0
1002,7.75,,Q,"Co Clare, Ireland Washington, DC",1.0
656,7.75,,Q,"Co Longford, Ireland New York, NY",1.0
970,106.425,C86,C,"Deephaven, MN / Cedar Rapids, IA",0.0
231,26.0,,S,London,0.0
1012,20.575,,S,"Devon, England Wichita, KS",1.0
575,20.575,,S,"Devon, England Wichita, KS",1.0
1015,39.6875,,S,,0.0
453,26.2875,E24,S,"St Louis, MO",1.0
399,10.5,F33,S,Pennsylvania,1.0
1130,33.0,,S,"London / Chicago, IL",1.0
452,10.5,,S,"Hartford, Huntingdonshire",0.0
1150,7.8542,,S,,0.0
249,14.0,,S,"Frankfort, KY",0.0
539,52.0,,S,"New York, NY",0.0
251,9.5,,S,,0.0
505,262.375,,C,"Cooperstown, NY",1.0
425,8.1125,,S,,1.0
97,30.5,A21,S,"Pomeroy, WA",0.0
535,7.8542,,S,,1.0
726,133.65,,S,"New York, NY",1.0
918,31.6833,,S,"New York, NY",1.0
10,263.0,C23 C25 C27,S,"Winnipeg, MB",1.0
900,10.5,,S,"Guernsey / Wilmington, DE",1.0
1292,7.2292,,C,,0.0
27,7.55,,S,,0.0
1254,26.0,,S,"Minneapolis, MN",0.0
184,14.5,,S,,0.0
988,73.5,,S,"New Forest, England",0.0
747,7.75,,Q,,1.0
769,7.75,,Q,"Co Athlone, Ireland New York, NY",1.0
557,12.2875,,S,,1.0
815,7.75,,Q,,0.0
692,7.875,,S,,0.0
668,7.775,,S,,0.0
58,7.25,,S,,0.0
1164,7.55,,S,"England Albion, NY",1.0
571,32.5,,S,"Greenport, NY",0.0
722,10.5,,S,Cornwall,0.0
528,7.7333,,Q,"Ireland New York, NY",0.0
672,15.5792,,C,"New York, NY",0.0
1309,7.8292,,Q,,1.0
254,9.8458,,S,"Waukegan, Chicago, IL",0.0
1299,13.0,,S,"Denmark / New York, NY",0.0
517,30.5,C30,S,"Montreal, PQ",0.0
364,7.775,,S,,0.0
1135,7.775,,S,"Krakudden, Sweden Moune, IL",0.0
1103,12.35,,Q,"Glasgow / Bangor, ME",0.0
88,10.5,,S,"Sweden / Arlington, NJ",0.0
1148,7.0,,S,,0.0
923,7.75,F38,Q,,0.0
768,7.7958,,S,,1.0
445,7.8958,,S,Austria,0.0
438,26.55,,S,"New York, NY",1.0
161,26.25,,S,"Bishopstoke, Hants / Fayette Valley, ID",1.0
427,69.55,,S,,0.0
530,9.5,,S,,1.0
474,13.0,,S,Spain,1.0
1209,7.25,,S,"Asarum, Sweden Brooklyn, NY",0.0
898,7.25,,S,,0.0
